POG Position(0, 1), PixelCount(67247), Intensity(705753)
POG Position(340, 300), PixelCount(60), Intensity(1680)
POG Position(108, 142), PixelCount(64), Intensity(320)
POG Position(0, 1), PixelCount(60), Intensity(1680)
POG Position(22, 61), PixelCount(60), Intensity(277)
POG Position(60, 69), PixelCount(9), Intensity(36)
POG Position(92, 113), PixelCount(13), Intensity(55)
POG Position(139, 73), PixelCount(12), Intensity(54)
POG Position(129, 58), PixelCount(12), Intensity(74)
POG Position(108, 27), PixelCount(10), Intensity(41)
POG Position(92, 113), PixelCount(13), Intensity(55)
POG Position(139, 73), PixelCount(12), Intensity(54)
POG Position(129, 58), PixelCount(12), Intensity(74)
POG Position(108, 27), PixelCount(10), Intensity(41)
POG Position(92, 113), PixelCount(13), Intensity(55)
POG Position(139, 73), PixelCount(12), Intensity(54)
POG Position(129, 58), PixelCount(12), Intensity(74)
POG Position(108, 27), PixelCount(10), Intensity(41)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(98, 138), PixelCount(16), Intensity(99)
POG Position(108, 136), PixelCount(19), Intensity(120)
POG Position(53, 130), PixelCount(21), Intensity(129)
POG Position(44, 85), PixelCount(207), Intensity(1440)
POG Position(45, 111), PixelCount(70), Intensity(451)
POG Position(61, 111), PixelCount(82), Intensity(553)
POG Position(101, 130), PixelCount(18), Intensity(122)
POG Position(41, 19), PixelCount(3624), Intensity(26088)
POG Position(36, 112), PixelCount(16), Intensity(106)
POG Position(45, 98), PixelCount(50), Intensity(344)
POG Position(146, 103), PixelCount(22), Intensity(142)
POG Position(91, 15), PixelCount(268), Intensity(1848)
POG Position(41, 56), PixelCount(37), Intensity(255)
POG Position(98, 11), PixelCount(193), Intensity(1311)
POG Position(123, 23), PixelCount(120), Intensity(784)
POG Position(177, 52), PixelCount(16), Intensity(130)
POG Position(54, 41), PixelCount(24), Intensity(153)
POG Position(81, 32), PixelCount(18), Intensity(132)
POG Position(73, 22), PixelCount(28), Intensity(186)
POG Position(111, 11), PixelCount(28), Intensity(173)
POG Position(43, 85), PixelCount(208), Intensity(1455)
POG Position(34, 99), PixelCount(99), Intensity(650)
POG Position(41, 21), PixelCount(3793), Intensity(27368)
POG Position(28, 118), PixelCount(32), Intensity(205)
POG Position(42, 93), PixelCount(131), Intensity(902)
POG Position(34, 111), PixelCount(25), Intensity(157)
POG Position(146, 104), PixelCount(17), Intensity(111)
POG Position(162, 95), PixelCount(26), Intensity(163)
